n = 10000
i              x              u      rel error
0      9.999e-05    0.000899415       -7.07929
1     0.00019998     0.00179783       -7.07929
2     0.00029997     0.00269525       -7.07929
3     0.00039996     0.00359167       -7.07929
4     0.00049995      0.0044871       -7.07929
5     0.00059994     0.00538153       -7.07929
6     0.00069993     0.00627496       -7.07929
7     0.00079992     0.00716741       -7.07929
8     0.00089991     0.00805886       -7.07929
9      0.0009999     0.00894932       -7.07929
10     0.00109989     0.00983879       -7.07929
11     0.00119988      0.0107273       -7.07929
12     0.00129987      0.0116148       -7.07929
13     0.00139986      0.0125013       -7.07929
14     0.00149985      0.0133868       -7.07929
15     0.00159984      0.0142713       -7.07929
16     0.00169983      0.0151549       -7.07929
17     0.00179982      0.0160375       -7.07929
18     0.00189981       0.016919       -7.07929
19      0.0019998      0.0177997       -7.07929
20     0.00209979      0.0186793       -7.07929
21     0.00219978      0.0195579       -7.07929
22     0.00229977      0.0204356       -7.07929
23     0.00239976      0.0213123       -7.07929
24     0.00249975       0.022188       -7.07929
25     0.00259974      0.0230628       -7.07929
26     0.00269973      0.0239365       -7.07929
27     0.00279972      0.0248093       -7.07929
28     0.00289971      0.0256811       -7.07929
29      0.0029997       0.026552       -7.07929
30     0.00309969      0.0274219       -7.07929
31     0.00319968      0.0282908       -7.07929
32     0.00329967      0.0291587       -7.07929
33     0.00339966      0.0300257       -7.07929
34     0.00349965      0.0308917       -7.07929
35     0.00359964      0.0317568       -7.07929
36     0.00369963      0.0326208       -7.07929
37     0.00379962       0.033484       -7.07929
38     0.00389961      0.0343461       -7.07929
39      0.0039996      0.0352073       -7.07929
40     0.00409959      0.0360675       -7.07929
41     0.00419958      0.0369268       -7.07929
42     0.00429957      0.0377851       -7.07929
43     0.00439956      0.0386425       -7.07929
44     0.00449955      0.0394989       -7.07929
45     0.00459954      0.0403543       -7.07929
46     0.00469953      0.0412088       -7.07929
47     0.00479952      0.0420623       -7.07929
48     0.00489951      0.0429149       -7.07929
49      0.0049995      0.0437665       -7.07929
50     0.00509949      0.0446172       -7.07929
51     0.00519948      0.0454669       -7.07929
52     0.00529947      0.0463157       -7.07929
53     0.00539946      0.0471636       -7.07929
54     0.00549945      0.0480104       -7.07929
55     0.00559944      0.0488564       -7.07929
56     0.00569943      0.0497014       -7.07929
57     0.00579942      0.0505454       -7.07929
58     0.00589941      0.0513885       -7.07929
59      0.0059994      0.0522307       -7.07929
60     0.00609939      0.0530719       -7.07929
61     0.00619938      0.0539122       -7.07929
62     0.00629937      0.0547515       -7.07929
63     0.00639936      0.0555899       -7.07929
64     0.00649935      0.0564274       -7.07929
65     0.00659934      0.0572639       -7.07929
66     0.00669933      0.0580995       -7.07929
67     0.00679932      0.0589342       -7.07929
68     0.00689931      0.0597679       -7.07929
69      0.0069993      0.0606007       -7.07929
70     0.00709929      0.0614325       -7.07929
71     0.00719928      0.0622634       -7.07929
72     0.00729927      0.0630934       -7.07929
73     0.00739926      0.0639225       -7.07929
74     0.00749925      0.0647506       -7.07929
75     0.00759924      0.0655778       -7.07929
76     0.00769923      0.0664041       -7.07929
77     0.00779922      0.0672295       -7.07929
78     0.00789921      0.0680539       -7.07929
79      0.0079992      0.0688774       -7.07929
80     0.00809919         0.0697       -7.07929
81     0.00819918      0.0705217       -7.07929
82     0.00829917      0.0713424       -7.07929
83     0.00839916      0.0721622       -7.07929
84     0.00849915      0.0729811       -7.07929
85     0.00859914      0.0737991       -7.07929
86     0.00869913      0.0746162       -7.07929
87     0.00879912      0.0754323       -7.07929
88     0.00889911      0.0762476       -7.07929
89      0.0089991      0.0770619       -7.07929
90     0.00909909      0.0778753       -7.07929
91     0.00919908      0.0786878       -7.07929
92     0.00929907      0.0794994       -7.07929
93     0.00939906        0.08031       -7.07929
94     0.00949905      0.0811198       -7.07929
95     0.00959904      0.0819287       -7.07929
96     0.00969903      0.0827366       -7.07929
97     0.00979902      0.0835436       -7.07929
98     0.00989901      0.0843498       -7.07929
99       0.009999       0.085155       -7.07929
100       0.010099      0.0859593       -7.07929
101       0.010199      0.0867627       -7.07929
102       0.010299      0.0875652       -7.07929
103       0.010399      0.0883668       -7.07929
104       0.010499      0.0891675       -7.07929
105      0.0105989      0.0899674       -7.07929
106      0.0106989      0.0907663       -7.07929
107      0.0107989      0.0915643       -7.07929
108      0.0108989      0.0923614       -7.07929
109      0.0109989      0.0931576       -7.07929
110      0.0110989      0.0939529       -7.07929
111      0.0111989      0.0947474       -7.07929
112      0.0112989      0.0955409       -7.07929
113      0.0113989      0.0963335       -7.07929
114      0.0114989      0.0971253       -7.07929
115      0.0115988      0.0979161       -7.07929
116      0.0116988      0.0987061       -7.07929
117      0.0117988      0.0994952       -7.07929
118      0.0118988       0.100283       -7.07929
119      0.0119988       0.101071       -7.07929
120      0.0120988       0.101857       -7.07929
121      0.0121988       0.102643       -7.07929
122      0.0122988       0.103427       -7.07929
123      0.0123988       0.104211       -7.07929
124      0.0124988       0.104994       -7.07929
125      0.0125987       0.105776       -7.07929
126      0.0126987       0.106557       -7.07929
127      0.0127987       0.107337       -7.07929
128      0.0128987       0.108117       -7.07929
129      0.0129987       0.108895       -7.07929
130      0.0130987       0.109673       -7.07929
131      0.0131987       0.110449       -7.07929
132      0.0132987       0.111225       -7.07929
133      0.0133987          0.112       -7.07929
134      0.0134987       0.112774       -7.07929
135      0.0135986       0.113547       -7.07929
136      0.0136986        0.11432       -7.07929
137      0.0137986       0.115091       -7.07929
138      0.0138986       0.115862       -7.07929
139      0.0139986       0.116632       -7.07929
140      0.0140986         0.1174       -7.07929
141      0.0141986       0.118168       -7.07929
142      0.0142986       0.118936       -7.07929
143      0.0143986       0.119702       -7.07929
144      0.0144986       0.120467       -7.07929
145      0.0145985       0.121232       -7.07929
146      0.0146985       0.121995       -7.07929
147      0.0147985       0.122758       -7.07929
148      0.0148985        0.12352       -7.07929
149      0.0149985       0.124281       -7.07929
150      0.0150985       0.125042       -7.07929
151      0.0151985       0.125801       -7.07929
152      0.0152985       0.126559       -7.07929
153      0.0153985       0.127317       -7.07929
154      0.0154985       0.128074       -7.07929
155      0.0155984        0.12883       -7.07929
156      0.0156984       0.129585       -7.07929
157      0.0157984       0.130339       -7.07929
158      0.0158984       0.131092       -7.07929
159      0.0159984       0.131845       -7.07929
160      0.0160984       0.132597       -7.07929
161      0.0161984       0.133347       -7.07929
162      0.0162984       0.134097       -7.07929
163      0.0163984       0.134846       -7.07929
164      0.0164984       0.135595       -7.07929
165      0.0165983       0.136342       -7.07929
166      0.0166983       0.137089       -7.07929
167      0.0167983       0.137834       -7.07929
168      0.0168983       0.138579       -7.07929
169      0.0169983       0.139323       -7.07929
170      0.0170983       0.140066       -7.07929
171      0.0171983       0.140809       -7.07929
172      0.0172983        0.14155       -7.07929
173      0.0173983       0.142291       -7.07929
174      0.0174983       0.143031       -7.07929
175      0.0175982        0.14377       -7.07929
176      0.0176982       0.144508       -7.07929
177      0.0177982       0.145245       -7.07929
178      0.0178982       0.145982       -7.07929
179      0.0179982       0.146717       -7.07929
180      0.0180982       0.147452       -7.07929
181      0.0181982       0.148186       -7.07929
182      0.0182982       0.148919       -7.07929
183      0.0183982       0.149652       -7.07929
184      0.0184982       0.150383       -7.07929
185      0.0185981       0.151114       -7.07929
186      0.0186981       0.151843       -7.07929
187      0.0187981       0.152572       -7.07929
188      0.0188981       0.153301       -7.07929
189      0.0189981       0.154028       -7.07929
190      0.0190981       0.154754       -7.07929
191      0.0191981        0.15548       -7.07929
192      0.0192981       0.156205       -7.07929
193      0.0193981       0.156929       -7.07929
194      0.0194981       0.157652       -7.07929
195       0.019598       0.158374       -7.07929
196       0.019698       0.159096       -7.07929
197       0.019798       0.159817       -7.07929
198       0.019898       0.160537       -7.07929
199       0.019998       0.161256       -7.07929
200       0.020098       0.161974       -7.07929
201       0.020198       0.162691       -7.07929
202       0.020298       0.163408       -7.07929
203       0.020398       0.164124       -7.07929
204       0.020498       0.164839       -7.07929
205      0.0205979       0.165553       -7.07929
206      0.0206979       0.166267       -7.07929
207      0.0207979       0.166979       -7.07929
208      0.0208979       0.167691       -7.07929
209      0.0209979       0.168402       -7.07929
210      0.0210979       0.169112       -7.07929
211      0.0211979       0.169821       -7.07929
212      0.0212979        0.17053       -7.07929
213      0.0213979       0.171237       -7.07929
214      0.0214979       0.171944       -7.07929
215      0.0215978        0.17265       -7.07929
216      0.0216978       0.173356       -7.07929
217      0.0217978        0.17406       -7.07929
218      0.0218978       0.174764       -7.07929
219      0.0219978       0.175467       -7.07929
220      0.0220978       0.176169       -7.07929
221      0.0221978        0.17687       -7.07929
222      0.0222978       0.177571       -7.07929
223      0.0223978        0.17827       -7.07929
224      0.0224978       0.178969       -7.07929
225      0.0225977       0.179667       -7.07929
226      0.0226977       0.180364       -7.07929
227      0.0227977       0.181061       -7.07929
228      0.0228977       0.181757       -7.07929
229      0.0229977       0.182451       -7.07929
230      0.0230977       0.183146       -7.07929
231      0.0231977       0.183839       -7.07929
232      0.0232977       0.184531       -7.07929
233      0.0233977       0.185223       -7.07929
234      0.0234977       0.185914       -7.07929
235      0.0235976       0.186604       -7.07929
236      0.0236976       0.187293       -7.07929
237      0.0237976       0.187982       -7.07929
238      0.0238976        0.18867       -7.07929
239      0.0239976       0.189357       -7.07929
240      0.0240976       0.190043       -7.07929
241      0.0241976       0.190728       -7.07929
