n = 10
time elapsed = 0
i              x              V
0      0.0909091       0.472737
1       0.181818       0.612506
2       0.272727       0.618127
3       0.363636         0.5697
4       0.454545       0.499497
5       0.545455       0.420522
6       0.636364       0.338012
7       0.727273       0.254078
8       0.818182       0.169571
9       0.909091      0.0848319
