n = 1000
time elapsed = 0.02
i              x              V
259        0.25974       0.665799
260       0.260739       0.665541
261       0.261738       0.665274
262       0.262737       0.665001
263       0.263736        0.66472
264       0.264735       0.664433
265       0.265734       0.664138
266       0.266733       0.663836
267       0.267732       0.663527
268       0.268731       0.663212
269        0.26973       0.662889
270       0.270729        0.66256
271       0.271728       0.662225
272       0.272727       0.661882
273       0.273726       0.661533
274       0.274725       0.661178
275       0.275724       0.660816
276       0.276723       0.660448
277       0.277722       0.660074
278       0.278721       0.659693
279        0.27972       0.659307
280       0.280719       0.658914
281       0.281718       0.658515
282       0.282717        0.65811
283       0.283716       0.657699
284       0.284715       0.657283
285       0.285714       0.656861
286       0.286713       0.656433
287       0.287712       0.655999
288       0.288711       0.655559
289        0.28971       0.655115
290       0.290709       0.654664
291       0.291708       0.654208
292       0.292707       0.653747
293       0.293706        0.65328
294       0.294705       0.652808
295       0.295704       0.652331
296       0.296703       0.651849
297       0.297702       0.651362
298       0.298701       0.650869
299         0.2997       0.650371
300       0.300699       0.649869
301       0.301698       0.649361
302       0.302697       0.648849
303       0.303696       0.648332
304       0.304695        0.64781
305       0.305694       0.647283
306       0.306693       0.646751
307       0.307692       0.646215
308       0.308691       0.645675
309        0.30969       0.645129
310       0.310689        0.64458
311       0.311688       0.644025
312       0.312687       0.643467
313       0.313686       0.642904
314       0.314685       0.642336
315       0.315684       0.641765
316       0.316683       0.641189
317       0.317682       0.640609
318       0.318681       0.640025
319        0.31968       0.639436
320       0.320679       0.638844
321       0.321678       0.638247
322       0.322677       0.637647
323       0.323676       0.637042
324       0.324675       0.636434
325       0.325674       0.635822
326       0.326673       0.635205
327       0.327672       0.634586
328       0.328671       0.633962
329        0.32967       0.633334
330       0.330669       0.632703
331       0.331668       0.632069
332       0.332667        0.63143
333       0.333666       0.630788
334       0.334665       0.630143
335       0.335664       0.629494
336       0.336663       0.628841
337       0.337662       0.628185
338       0.338661       0.627526
339        0.33966       0.626863
340       0.340659       0.626197
341       0.341658       0.625528
342       0.342657       0.624855
343       0.343656       0.624179
344       0.344655         0.6235
345       0.345654       0.622818
346       0.346653       0.622132
347       0.347652       0.621444
348       0.348651       0.620752
349        0.34965       0.620057
350       0.350649       0.619359
351       0.351648       0.618659
352       0.352647       0.617955
353       0.353646       0.617248
354       0.354645       0.616539
355       0.355644       0.615827
356       0.356643       0.615111
357       0.357642       0.614393
358       0.358641       0.613672
359        0.35964       0.612949
360       0.360639       0.612222
361       0.361638       0.611493
362       0.362637       0.610762
363       0.363636       0.610027
364       0.364635        0.60929
365       0.365634        0.60855
366       0.366633       0.607808
367       0.367632       0.607063
368       0.368631       0.606316
369        0.36963       0.605566
370       0.370629       0.604814
371       0.371628       0.604059
372       0.372627       0.603302
373       0.373626       0.602543
374       0.374625       0.601781
375       0.375624       0.601016
376       0.376623        0.60025
377       0.377622       0.599481
378       0.378621        0.59871
379        0.37962       0.597936
380       0.380619        0.59716
381       0.381618       0.596382
382       0.382617       0.595602
383       0.383616        0.59482
384       0.384615       0.594035
385       0.385614       0.593249
386       0.386613        0.59246
387       0.387612       0.591669
388       0.388611       0.590876
389        0.38961       0.590081
390       0.390609       0.589285
391       0.391608       0.588486
392       0.392607       0.587685
393       0.393606       0.586882
394       0.394605       0.586077
395       0.395604        0.58527
396       0.396603       0.584461
397       0.397602       0.583651
398       0.398601       0.582838
399         0.3996       0.582024
400       0.400599       0.581208
401       0.401598        0.58039
402       0.402597        0.57957
403       0.403596       0.578748
404       0.404595       0.577925
405       0.405594         0.5771
406       0.406593       0.576273
407       0.407592       0.575445
408       0.408591       0.574615
409        0.40959       0.573783
410       0.410589       0.572949
411       0.411588       0.572114
412       0.412587       0.571277
413       0.413586       0.570439
414       0.414585       0.569599
415       0.415584       0.568757
416       0.416583       0.567914
417       0.417582       0.567069
418       0.418581       0.566223
419        0.41958       0.565375
420       0.420579       0.564526
421       0.421578       0.563675
422       0.422577       0.562823
423       0.423576       0.561969
424       0.424575       0.561114
425       0.425574       0.560258
426       0.426573         0.5594
427       0.427572        0.55854
428       0.428571        0.55768
429        0.42957       0.556817
430       0.430569       0.555954
431       0.431568       0.555089
432       0.432567       0.554223
433       0.433566       0.553355
434       0.434565       0.552487
435       0.435564       0.551617
436       0.436563       0.550745
437       0.437562       0.549873
438       0.438561       0.548999
439        0.43956       0.548124
440       0.440559       0.547247
441       0.441558        0.54637
442       0.442557       0.545491
443       0.443556       0.544611
444       0.444555        0.54373
445       0.445554       0.542847
446       0.446553       0.541964
447       0.447552       0.541079
448       0.448551       0.540193
449        0.44955       0.539306
450       0.450549       0.538418
451       0.451548       0.537529
452       0.452547       0.536639
453       0.453546       0.535748
454       0.454545       0.534855
455       0.455544       0.533962
456       0.456543       0.533067
457       0.457542       0.532172
458       0.458541       0.531275
459        0.45954       0.530378
460       0.460539       0.529479
461       0.461538        0.52858
462       0.462537       0.527679
463       0.463536       0.526778
464       0.464535       0.525875
465       0.465534       0.524972
466       0.466533       0.524067
467       0.467532       0.523162
468       0.468531       0.522256
469        0.46953       0.521348
470       0.470529        0.52044
