n = 10
i              x              u
0      0.0909091       0.464254
1       0.181818        0.59554
2       0.272727       0.592677
3       0.363636       0.535767
4       0.454545       0.457081
5       0.545455       0.369623
6       0.636364        0.27863
7       0.727273       0.186213
8       0.818182       0.093222
9       0.909091   1.79066e-307
