n = 100
i              x              u
0     0.00990099       0.084198
1       0.019802       0.159517
2       0.029703       0.226794
3       0.039604       0.286788
4       0.049505       0.340184
5      0.0594059       0.387605
6      0.0693069       0.429613
7      0.0792079        0.46672
8      0.0891089       0.499388
9      0.0990099       0.528034
10       0.108911       0.553037
11       0.118812       0.574742
12       0.128713       0.593459
13       0.138614        0.60947
14       0.148515        0.62303
15       0.158416       0.634369
16       0.168317       0.643698
17       0.178218       0.651206
18       0.188119       0.657064
19        0.19802       0.661428
20       0.207921       0.664438
21       0.217822       0.666223
22       0.227723       0.666898
23       0.237624       0.666568
24       0.247525       0.665327
25       0.257426       0.663261
26       0.267327       0.660448
27       0.277228       0.656958
28       0.287129       0.652855
29        0.29703       0.648197
30       0.306931       0.643037
31       0.316832       0.637421
32       0.326733       0.631392
33       0.336634        0.62499
34       0.346535        0.61825
35       0.356436       0.611203
36       0.366337       0.603879
37       0.376238       0.596303
38       0.386139         0.5885
39        0.39604        0.58049
40       0.405941       0.572294
41       0.415842       0.563928
42       0.425743       0.555409
43       0.435644       0.546751
44       0.445545       0.537968
45       0.455446        0.52907
46       0.465347        0.52007
47       0.475248       0.510976
48       0.485149       0.501798
49        0.49505       0.492543
50        0.50495       0.483218
51       0.514851       0.473831
52       0.524752       0.464387
53       0.534653       0.454891
54       0.544554       0.445348
55       0.554455       0.435763
56       0.564356        0.42614
57       0.574257       0.416482
58       0.584158       0.406793
59       0.594059       0.397075
60        0.60396       0.387332
61       0.613861       0.377565
62       0.623762       0.367777
63       0.633663       0.357969
64       0.643564       0.348145
65       0.653465       0.338304
66       0.663366        0.32845
67       0.673267       0.318582
68       0.683168       0.308703
69       0.693069       0.298814
70        0.70297       0.288914
71       0.712871       0.279006
72       0.722772       0.269091
73       0.732673       0.259168
74       0.742574       0.249238
75       0.752475       0.239303
76       0.762376       0.229362
77       0.772277       0.219417
78       0.782178       0.209468
79       0.792079       0.199514
80        0.80198       0.189557
81       0.811881       0.179596
82       0.821782       0.169633
83       0.831683       0.159667
84       0.841584       0.149699
85       0.851485       0.139728
86       0.861386       0.129756
87       0.871287       0.119782
88       0.881188       0.109806
89       0.891089      0.0998286
90        0.90099        0.08985
91       0.910891      0.0798702
92       0.920792      0.0698893
93       0.930693      0.0599074
94       0.940594      0.0499246
95       0.950495       0.039941
96       0.960396      0.0299567
97       0.970297      0.0199717
98       0.980198     0.00998612
99       0.990099   1.79066e-307
